n,0&0,0&1,0&2,0&3,0&4,1&0,1&1,1&2,1&3,1&4,2&0,2&1,2&2,2&3,2&4,3&0,3&1,3&2,3&3,4&0,4&1,4&2,4&3,4&4,4&5
0&0,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,r3&i0,n,n,n,n,n,n,n,n,n
0&1,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
0&2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
0&3,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
0&4,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
1&0,r2&r3,r3,r3,r3,r3,n,n,n,n,n,r3&i0,r3,r3,r3&i0,r3&i0,r3&i0,r3&i0&i1,r3&i0&i2,r3&i0&i3,r3,r3,r3,r3,r3,r3
1&1,r2&r3,r3,r3,r3,r3,n,n,n,n,n,r3&i0,r3,r3,r3&i0,r3&i0,r3&i0,r3&i0&i1,r3&i0&i2,r3&i0&i3,r3,r3,r3,r3,r3,r3
1&2,r2&r3,r3,r3,r3,r3,n,n,n,n,n,r3&i0,r3,r3,r3&i0,r3&i0,r3&i0,r3&i0&i1,r3&i0&i2,r3&i0&i3,r3,r3,r3,r3,r3,r3
1&3,r2&r3,r3,r3,r3,r3,n,n,n,n,n,r3&i0,r3,r3,r3&i0,r3&i0,r3&i0,r3&i0&i1,r3&i0&i2,r3&i0&i3,r3,r3,r3,r3,r3,r3
1&4,r2&r3,r3,r3,r3,r3,n,n,n,n,n,r3&i0,r3,r3,r3&i0,r3&i0,r3&i0,r3&i0&i1,r3&i0&i2,r3&i0&i3,r3,r3,r3,r3,r3,r3
2&0,r3&i0,n,n,n,r3,n,n,n,n,n,n,r3,r3,n,n,n,n,n,n,r3,r3,r3,r3,r3,r3
2&1,r3&i0,n,n,n,r3,n,n,n,n,n,r3&i2,n,r3,n,n,n,n,n,n,r3,r3,r3,r3,r3,r3
2&2,r3&i0,n,n,n,r3,n,n,n,n,n,r3&i1,r3,n,n,n,n,n,n,n,r3,r3,r3,r3,r3,r3
2&3,r3&i0,n,n,n,r3,n,n,n,n,n,r3&i0,r3,r3,n,n,n,n,n,n,r3,r3,r3,r3,r3,r3
2&4,r3&i0,n,n,n,r3,n,n,n,n,n,r3&i1,r3,r3,n,n,n,n,n,n,r3,r3,r3,r3,r3,r3
3&0,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,r3,r3,r3,n,n,r3
3&1,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,r3,r3,r3,n,n,r3
3&2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,r3,r3,r3,n,n,r3
3&3,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,r3,r3,r3,n,n,r3
4&0,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,r3,r3,r3,n,n,r3
4&1,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
4&2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
4&3,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
4&4,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
4&5,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
